fbref_team,cfdm_team,norm
Ajaccio,Ajaccio,ajaccio
Albacete,Albacete,albacete
Ancona,Ancona,ancona
Angers,Angers,angers
Arsenal,Arsenal,arsenal
Ascoli,Ascoli,ascoli
Aston Villa,Aston Villa,aston villa
Atalanta,Atalanta,atalanta
Augsburg,Augsburg,augsburg
Auxerre,Auxerre,auxerre
Barcelona,Barcelona,barcelona
Bari,Bari,bari
Bastia,Bastia,bastia
Bayern Munich,Bayern Munich,bayern munich
Benevento,Benevento,benevento
Blackpool,Blackpool,blackpool
Bochum,Bochum,bochum
Bologna,Bologna,bologna
Bordeaux,Bordeaux,bordeaux
Boulogne,Boulogne,boulogne
Bournemouth,Bournemouth,bournemouth
Brentford,Brentford,brentford
Brescia,Brescia,brescia
Brest,Brest,brest
Burnley,Burnley,burnley
Caen,Caen,caen
Cagliari,Cagliari,cagliari
Carpi,Carpi,carpi
Catania,Catania,catania
Cesena,Cesena,cesena
Chelsea,Chelsea,chelsea
Chievo,Chievo,chievo
Como,Como,como
Cremonese,Cremonese,cremonese
Crotone,Crotone,crotone
Crystal Palace,Crystal Palace,crystal palace
Dijon,Dijon,dijon
Dortmund,Dortmund,dortmund
Eibar,Eibar,eibar
Elche,Elche,elche
Empoli,Empoli,empoli
Everton,Everton,everton
Fiorentina,Fiorentina,fiorentina
Freiburg,Freiburg,freiburg
Frosinone,Frosinone,frosinone
Fulham,Fulham,fulham
Genoa,Genoa,genoa
Getafe,Getafe,getafe
Girona,Girona,girona
Granada,Granada,granada
Guingamp,Guingamp,guingamp
Hansa Rostock,Hansa Rostock,hansa rostock
Hoffenheim,Hoffenheim,hoffenheim
Huesca,Huesca,huesca
Istres,Istres,istres
Juventus,Juventus,juventus
Kaiserslautern,Kaiserslautern,kaiserslautern
Las Palmas,Las Palmas,las palmas
Lazio,Lazio,lazio
Le Havre,Le Havre,le havre
Le Mans,Le Mans,le mans
Lecce,Lecce,lecce
Lens,Lens,lens
Levante,Levante,levante
Lille,Lille,lille
Liverpool,Liverpool,liverpool
Livorno,Livorno,livorno
Lorient,Lorient,lorient
Lyon,Lyon,lyon
Mallorca,Mallorca,mallorca
Marseille,Marseille,marseille
Messina,Messina,messina
Metz,Metz,metz
Middlesbrough,Middlesbrough,middlesbrough
Milan,Milan,milan
Modena,Modena,modena
Monaco,Monaco,monaco
Montpellier,Montpellier,montpellier
Monza,Monza,monza
Nancy,Nancy,nancy
Nantes,Nantes,nantes
Napoli,Napoli,napoli
Nice,Nice,nice
Novara,Novara,novara
Numancia,Numancia,numancia
Osasuna,Osasuna,osasuna
Oviedo,Oviedo,oviedo
Palermo,Palermo,palermo
Parma,Parma,parma
Perugia,Perugia,perugia
Pescara,Pescara,pescara
Piacenza,Piacenza,piacenza
Portsmouth,Portsmouth,portsmouth
RB Leipzig,RB Leipzig,rb leipzig
Reading,Reading,reading
Real Madrid,Real Madrid,real madrid
Recreativo,Recreativo,recreativo
Reggina,Reggina,reggina
Reims,Reims,reims
Rennes,Rennes,rennes
Roma,Roma,roma
SPAL,Spal,spal
Salernitana,Salernitana,salernitana
Sampdoria,Sampdoria,sampdoria
Sassuolo,Sassuolo,sassuolo
Schalke 04,Schalke 04,schalke 04
Sedan,Sedan,sedan
Sevilla,Sevilla,sevilla
Sheffield United,Sheffield United,sheffield united
Siena,Siena,siena
Sochaux,Sochaux,sochaux
Southampton,Southampton,southampton
Spezia,Spezia,spezia
St. Pauli,St Pauli,st pauli
Strasbourg,Strasbourg,strasbourg
Stuttgart,Stuttgart,stuttgart
Sunderland,Sunderland,sunderland
Tenerife,Tenerife,tenerife
Torino,Torino,torino
Toulouse,Toulouse,toulouse
Treviso,Treviso,treviso
Troyes,Troyes,troyes
Udinese,Udinese,udinese
Unterhaching,Unterhaching,unterhaching
Valencia,Valencia,valencia
Valenciennes,Valenciennes,valenciennes
Valladolid,Valladolid,valladolid
Venezia,Venezia,venezia
Vicenza,Vicenza,vicenza
Villarreal,Villarreal,villarreal
Watford,Watford,watford
Werder Bremen,Werder Bremen,werder bremen
Wolfsburg,Wolfsburg,wolfsburg
Xerez,Xerez,xerez
Zaragoza,Zaragoza,zaragoza
