fbref_team,cfdm_team
1860 Munich,Munich 1860
Alavés,Alaves
Alemannia Aachen,Aachen
Almería,Almeria
Arles-Avignon,Arles
Arminia,Bielefeld
Athletic Club,Ath Bilbao
Atlético Madrid,Ath Madrid
Bayer Leverkusen,Leverkusen
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Bolton Wanderers,Bolton
Bradford City,Bradford
Brighton & Hove Albion,Brighton
Cardiff City,Cardiff
Celta Vigo,Celta
Charlton Athletic,Charlton
Clermont Foot,Clermont
Coventry City,Coventry
Cádiz,Cadiz
Córdoba,Cordoba
Darmstadt 98,Darmstadt
Deportivo La Coruña,La Coruna
Derby County,Derby
Düsseldorf,Fortuna Dusseldorf
Eintracht Braunschweig,Braunschweig
Eintracht Frankfurt,Ein Frankfurt
Energie Cottbus,Cottbus
Espanyol,Espanol
Evian,Evian Thonon Gaillard
Gazélec Ajaccio,Ajaccio GFCO
Grenoble Foot,Grenoble
Greuther Fürth,Greuther Furth
Hamburger SV,Hamburg
Hannover 96,Hannover
Hellas Verona,Verona
Hertha BSC,Hertha
Huddersfield Town,Huddersfield
Hull City,Hull
Hércules,Hercules
Ingolstadt 04,Ingolstadt
Internazionale,Inter
Ipswich Town,Ipswich
Karlsruher,Karlsruhe
Köln,FC Koln
Leeds United,Leeds
Leganés,Leganes
Leicester City,Leicester
Luton Town,Luton
MSV Duisburg,Duisburg
Mainz 05,Mainz
Manchester City,Man City
Manchester United,Man United
Málaga,Malaga
Mönchengladbach,MGladbach
Newcastle United,Newcastle
Norwich City,Norwich
Nottingham Forest,Nottm Forest
Nürnberg,Nurnberg
Paderborn 07,Paderborn
Paris Saint-Germain,Paris SG
Queens Park Rangers,QPR
Racing Santander,Santander
Rayo Vallecano,Vallecano
Real Betis,Betis
Real Murcia,Murcia
Real Sociedad,Sociedad
Saint-Étienne,St Etienne
Sporting Gijón,Sp Gijon
Stoke City,Stoke
Swansea City,Swansea
Tottenham Hotspur,Tottenham
West Bromwich Albion,West Brom
West Ham United,West Ham
Wigan Athletic,Wigan
Wolverhampton Wanderers,Wolves
